system:index,centroid_lat,centroid_lon,ndvi,year,.geo
0_0,-28.49550001016834,-54.01549999996039,8046.23412504081,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.5],[-54.011,-28.5],[-54.011,-28.490999999999996],[-54.02000000000001,-28.490999999999996],[-54.02000000000001,-28.5]]]}"
0_1,-28.486500010130875,-54.015499999945995,7496.125163238655,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.490999999999996],[-54.011,-28.490999999999996],[-54.011,-28.482000000000006],[-54.02,-28.482000000000003],[-54.02000000000001,-28.490999999999996]]]}"
0_2,-28.477500010162455,-54.015499999956276,8005.0132631407105,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.482000000000003],[-54.011,-28.482000000000006],[-54.011,-28.472999999999995],[-54.02,-28.472999999999995],[-54.02,-28.482000000000003]]]}"
0_3,-28.468500010126743,-54.015499999974395,7517.432664054847,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.472999999999995],[-54.011,-28.472999999999995],[-54.011,-28.464000000000002],[-54.02,-28.464000000000002],[-54.02,-28.472999999999995]]]}"
0_4,-28.45950001020012,-54.015499999975034,7861.720984329088,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.464000000000002],[-54.011,-28.464000000000002],[-54.011,-28.455],[-54.02,-28.455],[-54.02,-28.464000000000002]]]}"
0_5,-28.450500010165605,-54.01549999997353,8136.0658667972575,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.455],[-54.011,-28.455],[-54.011,-28.445999999999998],[-54.02000000000001,-28.445999999999998],[-54.02,-28.455]]]}"
0_6,-28.44150001025181,-54.01549999997167,7971.7240450538675,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.445999999999998],[-54.011,-28.446000000000005],[-54.011,-28.437],[-54.02000000000001,-28.437],[-54.02000000000001,-28.445999999999998]]]}"
0_7,-28.43250001017032,-54.015499999976306,8386.027220045708,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.437],[-54.011,-28.437],[-54.011,-28.428],[-54.02,-28.428],[-54.02000000000001,-28.437]]]}"
0_8,-28.423500010194438,-54.0154999999706,7639.385039177278,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.428],[-54.011,-28.428],[-54.011,-28.419000000000004],[-54.02000000000001,-28.419000000000004],[-54.02,-28.428]]]}"
0_9,-28.41450001022769,-54.01549999995635,7580.157443682664,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.419000000000004],[-54.011,-28.419000000000004],[-54.011,-28.410000000000004],[-54.02000000000001,-28.41],[-54.02000000000001,-28.419000000000004]]]}"
